2023-10-27T14:31:44.886  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

matched call names:
	'CLOSE'
	'ERROR'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
 2023-10-26T14:52:33.291561        427        317        427  EXEC("update ticketsales)                declare l_theCursor integer default dbms_sql.o
 2023-10-26T14:53:41.704758        431        317        427  CLOSE("update ticketsales)               declare l_theCursor integer default dbms_sql.o
 2023-10-26T14:53:41.704848        432        432          0  PARSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:41.704904        433        432        433  EXEC                                     select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:41.705088        435        432        433  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:41.707057        437        432        433  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:50.224745        442        432        433  CLOSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:50.226033        443        443          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226187        451        443        451  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226241        452        443        451  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226273        453        443        451  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226396        454        454          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226489        462        454        462  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
